央视频道,#genre#
CCTV1,http://rihou.vip:88/hccx/bestv.php?id=cctv1hd8m/8000000
CCTV2,http://rihou.vip:88/hccx/bestv.php?id=cctv2hd8m/8000000
CCTV3,http://rihou.vip:88/hccx/bestv.php?id=cctv38m/8000000
CCTV4,http://rihou.vip:88/hccx/bestv.php?id=cctv4hd8m/8000000
CCTV5,http://rihou.vip:88/hccx/bestv.php?id=cctv58m/8000000
CCTV5+,http://rihou.vip:88/hccx/bestv.php?id=cctv5phd8m/8000000
CCTV6,http://rihou.vip:88/hccx/bestv.php?id=cctv6hd8m/8000000
CCTV7,http://rihou.vip:88/hccx/bestv.php?id=cctv7hd8m/8000000
CCTV8,http://rihou.vip:88/hccx/bestv.php?id=cctv8hd8m/8000000
CCTV9,http://rihou.vip:88/hccx/bestv.php?id=cctv9hd8m/8000000
CCTV10,http://rihou.vip:88/hccx/bestv.php?id=cctv10hd8m/8000000
CCTV11,http://rihou.vip:88/hccx/bestv.php?id=cctv11hd8m/8000000
CCTV12,http://rihou.vip:88/hccx/bestv.php?id=cctv12hd8m/8000000
CCTV13,http://rihou.vip:88/hccx/bestv.php?id=cctv13xwhd8m/8000000
CCTV14,http://rihou.vip:88/hccx/bestv.php?id=cctvsehd8m/8000000
CCTV15,http://rihou.vip:88/hccx/bestv.php?id=cctv15hd8m/8000000
CCTV16,http://rihou.vip:88/hccx/bestv.php?id=cctv16hd8m/8000000
CCTV17,http://rihou.vip:88/hccx/bestv.php?id=cctv17hd8m/8000000
CCTV 4K,http://rihou.vip:88/hccx/bestv.php?id=cctv4k/15000000
CCTV16 4K,http://rihou.vip:88/hccx/bestv.php?id=cctv16hd4k/15000000
CCTV1,https://cntv.sbs/tv?auth=2310201855&id=cctv1
CCTV2,https://cntv.sbs/tv?auth=2310201855&id=cctv2
CCTV3,https://cntv.sbs/tv?auth=2310201855&id=cctv3
CCTV4,https://cntv.sbs/tv?auth=2310201855&id=cctv4
CCTV5,https://cntv.sbs/tv?auth=2310201855&id=cctv5
CCTV5+,https://cntv.sbs/tv?auth=2310201855&id=cctv5p
CCTV6,https://cntv.sbs/tv?auth=2310201855&id=cctv6
CCTV7,https://cntv.sbs/tv?auth=2310201855&id=cctv7
CCTV8,https://cntv.sbs/tv?auth=2310201855&id=cctv8
CCTV9,https://cntv.sbs/tv?auth=2310201855&id=cctv9
CCTV10,https://cntv.sbs/tv?auth=2310201855&id=cctv10
CCTV11,https://cntv.sbs/tv?auth=2310201855&id=cctv11
CCTV12,https://cntv.sbs/tv?auth=2310201855&id=cctv12
CCTV13,https://cntv.sbs/tv?auth=2310201855&id=cctv13
CCTV14,https://cntv.sbs/tv?auth=2310201855&id=cctv14
CCTV15,https://cntv.sbs/tv?auth=2310201855&id=cctv15
CCTV16,https://cntv.sbs/tv?auth=2310201855&id=cctv16
CCTV17,https://cntv.sbs/tv?auth=2310201855&id=cctv17
CCTV 4K,https://cntv.sbs/tv?auth=2310201855&id=cctv4k
CCTV16 4K,https://cntv.sbs/tv?auth=2310201855&id=cctv164k
CCTV5,http://111.20.40.173/PLTV/88888893/224/3221226395/index.m3u8
CCTV1,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8
CCTV2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8
CCTV3,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226397/1.m3u8
CCTV4,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226191/1.m3u8
CCTV5,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/1.m3u8
CCTV5+,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225761/1.m3u8
CCTV6,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226393/1.m3u8
CCTV7,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226192/1.m3u8
CCTV8,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226012/1.m3u8
CCTV9,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226197/1.m3u8
CCTV10,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226189/1.m3u8
CCTV11,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226714/1.m3u8?
CCTV12,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226723/1.m3u8?
CCTV13,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226233/1.m3u8
CCTV14,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226193/1.m3u8
